0,1,2,3,4,5,6
4.0,1.0,70.0,37.0,228.284,0.892195,1.0
4.0,1.0,71.0,12.0,10.0,150.796,133.333
4.0,1.0,72.0,39.0,216.569,104.492,133.333
4.0,1.0,73.0,29.0,188.284,102.797,1.0
4.0,1.0,74.0,60.0,329.706,0.693599,0.833333
4.0,1.0,75.0,8.0,8.0,15.708,0.5
4.0,1.0,76.0,75.0,330.711,0.861737,185.714
4.0,1.0,77.0,18.0,134.142,125.705,0.8
4.0,1.0,78.0,78.0,387.279,0.653516,0.714286
4.0,1.0,79.0,110.0,455.563,0.666047,0.647059
4.0,1.0,80.0,34.0,194.142,113.357,0.714286
4.0,1.0,81.0,29.0,188.284,102.797,1.4
4.0,1.0,82.0,15.0,12.0,1.309,166.667
4.0,1.0,83.0,20.0,14.0,128.228,0.8
4.0,1.0,84.0,9.0,8.0,176.715,1.0
4.0,1.0,85.0,39.0,250.711,0.779702,0.777778
4.0,1.0,86.0,27.0,182.426,101.953,1.0
4.0,1.0,87.0,58.0,282.426,0.91375,0.545455
4.0,1.0,88.0,48.0,244.853,10.061,1.0
4.0,1.0,89.0,26.0,176.569,104.799,1.0
4.0,1.0,90.0,33.0,194.142,110.023,0.714286
4.0,1.0,91.0,33.0,242.426,0.705609,0.875
4.0,1.0,92.0,52.0,276.569,0.854295,1.125
4.0,1.0,93.0,12.0,10.0,150.796,0.75
4.0,1.0,94.0,6.0,6.0,209.439,0.666667
4.0,1.0,95.0,40.0,230.711,0.944353,0.666667
4.0,1.0,96.0,12.0,10.0,150.796,0.75
4.0,1.0,97.0,9.0,8.0,176.715,1.0
4.0,1.0,98.0,19.0,134.142,132.688,1.25
4.0,1.0,99.0,9.0,8.0,176.715,1.0
4.0,1.0,100.0,24.0,174.142,0.99452,0.833333
4.0,1.0,101.0,18.0,134.142,125.705,0.8
4.0,1.0,102.0,15.0,12.0,1.309,166.667
4.0,1.0,103.0,49.0,248.284,0.998867,114.286
4.0,1.0,104.0,9.0,8.0,176.715,1.0
4.0,1.0,105.0,6.0,6.0,209.439,0.666667
4.0,1.0,106.0,54.0,276.569,0.887152,0.888889
4.0,1.0,107.0,6.0,6.0,209.439,1.5
4.0,1.0,108.0,6.0,6.0,209.439,1.5
4.0,1.0,109.0,6.0,6.0,209.439,1.5
4.0,2.0,1.0,12.0,10.0,150.796,133.333
4.0,2.0,2.0,6.0,6.0,209.439,1.5
4.0,2.0,3.0,12.0,10.0,150.796,133.333
4.0,2.0,4.0,29.0,208.284,0.84003,116.667
4.0,2.0,5.0,9.0,8.0,176.715,1.0
4.0,2.0,6.0,31.0,176.569,124.952,1.0
4.0,2.0,7.0,21.0,16.0,103.084,0.428571
4.0,2.0,8.0,28.0,18.0,108.598,1.75
4.0,2.0,9.0,19.0,134.142,132.688,1.25
4.0,2.0,10.0,40.0,224.853,0.994199,114.286
4.0,2.0,11.0,9.0,8.0,176.715,1.0
4.0,2.0,12.0,21.0,16.0,103.084,0.428571
4.0,2.0,13.0,12.0,10.0,150.796,0.75
4.0,2.0,14.0,41.0,248.284,0.835786,0.875
4.0,2.0,15.0,9.0,8.0,176.715,1.0
4.0,2.0,16.0,12.0,10.0,150.796,133.333
4.0,2.0,17.0,20.0,14.0,128.228,1.25
4.0,2.0,18.0,30.0,18.0,116.355,1.2
4.0,2.0,19.0,73.0,367.279,0.680049,155.556
4.0,2.0,20.0,16.0,12.0,139.626,1.0
4.0,2.0,21.0,30.0,222.426,0.762006,1.0
4.0,2.0,22.0,15.0,114.142,14.468,1.0
4.0,2.0,23.0,12.0,10.0,150.796,133.333
4.0,2.0,24.0,9.0,8.0,176.715,1.0
4.0,2.0,25.0,9.0,8.0,176.715,1.0
4.0,2.0,27.0,20.0,14.0,128.228,1.25
4.0,2.0,28.0,15.0,12.0,1.309,166.667
4.0,2.0,29.0,15.0,12.0,1.309,166.667
4.0,2.0,30.0,15.0,12.0,1.309,166.667
4.0,2.0,31.0,8.0,8.0,15.708,0.5
4.0,2.0,32.0,18.0,128.284,137.447,0.8
4.0,2.0,33.0,66.0,327.279,0.774314,0.75
4.0,2.0,34.0,26.0,162.426,123.843,1.2
4.0,2.0,35.0,9.0,8.0,176.715,1.0
4.0,2.0,36.0,20.0,14.0,128.228,1.25
4.0,2.0,37.0,12.0,10.0,150.796,133.333
